,VALUE
1146,78600.0
1147,80400.0
1148,93900.0
1149,103900.0
1150,109800.0
1151,113300.0
1152,132900.0
1153,126100.0
1154,17000.0
1155,38200.0
1156,102600.0
1157,58700.0
1158,57200.0
1159,62800.0
1160,62600.0
1161,69200.0
1162,81000.0
1163,78900.0
1164,83900.0
1165,88100.0
1166,99600.0
1167,27300.0
1168,41800.0
1169,105500.0
1170,192000.0
1171,186700.0
1172,193500.0
1173,207000.0
1174,213100.0
1175,214800.0
1176,251100.0
1177,267800.0
1178,264300.0
1179,301900.0
1180,33600.0
1181,132100.0
1182,286100.0
1183,698600.0
1184,696900.0
1185,664600.0
1186,681800.0
1187,714300.0
1188,745900.0
1189,801200.0
1190,806800.0
1191,810100.0
1192,799000.0
1193,112600.0
1194,247100.0
1195,689700.0
1196,98700.0
1197,98900.0
1198,104200.0
1199,125000.0
1200,135800.0
1201,152600.0
1202,160600.0
1203,190600.0
1204,215600.0
1205,214900.0
1206,10100.0
1207,39900.0
1208,180500.0
1209,12100.0
1210,14100.0
1211,16200.0
1212,16800.0
1213,18200.0
1214,21400.0
1215,20500.0
1216,22700.0
1217,26700.0
1218,26700.0
1219,2900.0
1220,8600.0
1221,26600.0
1222,31000.0
1223,34000.0
1224,34900.0
1225,38500.0
1226,38800.0
1227,38100.0
1228,53700.0
1229,59800.0
1230,65200.0
1231,64400.00000000001
1232,13000.0
1233,29200.0
1234,56200.0
1235,9900.0
1236,10700.0
1237,22000.0
1238,27000.0
1239,30600.0
1240,38400.0
1241,39100.0
1242,38200.0
1243,37800.0
1244,37000.0
1245,2700.0
1246,5100.0
1247,20800.0
1248,13100.0
1249,13600.0
1250,15700.0
1251,17200.0
1252,17800.0
1253,24100.0
1254,22200.0
1255,20900.0
1256,21300.0
1257,19500.0
1258,1800.0
1259,10100.0
1260,19800.0
1261,43400.0
1262,45300.0
1263,44700.0
1264,44000.0
1265,40900.0
1266,41300.0
1267,47300.0
1268,46000.0
1269,42600.0
1270,43000.0
1271,19600.0
1272,34200.0
1273,39900.0
1274,38900.0
1275,37900.0
1276,42000.0
1277,46000.0
1278,49300.0
1279,50800.0
1280,57600.0
1281,69800.0
1282,68900.0
1283,86900.0
1284,11700.0
1285,48300.0
1286,82500.0
1287,91600.0
1288,86300.0
1289,86200.0
1290,87600.0
1291,92300.0
1292,103900.0
1293,101600.0
1294,104700.0
1295,111000.0
1296,111500.0
1297,14400.0
1298,53000.0
1299,114500.0
1300,64200.0
1301,61800.0
1302,67200.0
1303,71100.0
1304,78000.0
1305,87400.0
1306,96300.0
1307,100500.0
1308,119600.0
1309,114400.0
1310,12300.0
1311,38600.0
1312,89700.0
1313,48400.0
